,Abilene,Albany,Albuquerque,Atlanta,Austin,Baltimore,Baton_Rouge,Billings,Birmingham,Bismarck,Bostons,Buffalo,Charleston,Charlotte,Chicago,Cincinnati,Cleveland,Columbus,Dallas,Denver,Detroit,El_Paso,Fresno,Greensboro,Hartford,Houston,Jacksonville,Kansas_City,Las_Vegas,Little_Rock,Long_Island,Los_Angeles,Louisville,Memphis,Miami,Milwaukee,Minneapolis,Nashville,New_Orleans,New_York,Newark,Norfolk,Oakland,Oklahoma_City,Omaha,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Providence,Raleigh,Richmond,Rochester,Sacramento,Salt_Lake_City,San_Antonio,San_Diego,San_Francisco,San_Jose,Santa_Barbara,Scranton,Seattle,Spokane,Springfield,St_Louis,Syracuse,Tallahassee,Tampa,Toledo,Tucson,Tulsa,Washington_DC,West_Palm_Beach,Wilmington
Bostons,0.7916666666666666,0.75,0.75,0.75,0.625,0.75,0.6666666666666666,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.9583333333333334,0.75,0.625,0.5833333333333334,0.75,0.75,0.75,0.8333333333333334,0.75,0.75,0.6666666666666666,0.7916666666666666,0.625,0.6666666666666666,0.8333333333333334,0.75,0.625,0.75,0.75,0.7083333333333334,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.7083333333333334,0.5,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.7083333333333334,0.8333333333333334,0.6666666666666666,0.7083333333333334,0.625,0.6666666666666666,0.7083333333333334,0.5,0.7916666666666666,0.7916666666666666,0.75,0.7916666666666666,0.875,0.7916666666666666,0.7083333333333334,0.8333333333333334,0.7083333333333334,0.7916666666666666,0.7083333333333334,0.75,0.625,0.5833333333333334,0.5833333333333334,0.75,0.75,0.75,0.7916666666666666,0.8333333333333334,0.7083333333333334,0.625,0.4583333333333333,0.625,0.625,0.6666666666666666,0.7083333333333334,0.5,0.8333333333333334
Buffalo,0.75,0.625,0.75,0.75,0.5833333333333334,0.75,0.7083333333333334,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.75,0.9166666666666666,0.5833333333333334,0.5833333333333334,0.75,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.75,0.7916666666666666,0.7083333333333334,0.75,0.625,0.7083333333333334,0.6666666666666666,0.8333333333333334,0.625,0.7916666666666666,0.75,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.625,0.7083333333333334,0.5,0.75,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.7916666666666666,0.75,0.6666666666666666,0.625,0.6666666666666666,0.75,0.5416666666666666,0.7916666666666666,0.8333333333333334,0.75,0.75,0.75,0.7083333333333334,0.6666666666666666,0.875,0.75,0.7916666666666666,0.7083333333333334,0.7916666666666666,0.625,0.5416666666666666,0.5833333333333334,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.75,0.8333333333333334,0.7083333333333334,0.625,0.4583333333333333,0.625,0.625,0.7083333333333334,0.7083333333333334,0.5,0.7916666666666666
Charleston,0.6666666666666666,0.5416666666666666,0.625,0.625,0.5416666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5416666666666666,0.5416666666666666,0.625,0.5833333333333334,0.75,0.5416666666666666,0.625,0.625,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.625,0.5416666666666666,0.625,0.5,0.5416666666666666,0.5416666666666666,0.625,0.5416666666666666,0.625,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.4583333333333333,0.5833333333333334,0.5833333333333334,0.4583333333333333,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.625,0.6666666666666666,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.6666666666666666,0.4583333333333333,0.7083333333333334,0.6666666666666666,0.5416666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.625,0.5416666666666666,0.4583333333333333,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.625,0.7083333333333334,0.5833333333333334,0.5833333333333334,0.4583333333333333,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4583333333333333,0.6666666666666666
Charlotte,0.625,0.4583333333333333,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.7083333333333334,0.625,0.6666666666666666,0.625,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.75,0.625,0.625,0.6666666666666666,0.6666666666666666,0.625,0.625,0.5833333333333334,0.625,0.625,0.5833333333333334,0.5833333333333334,0.625,0.5416666666666666,0.625,0.625,0.5,0.5833333333333334,0.4166666666666667,0.625,0.625,0.4583333333333333,0.625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.5416666666666666,0.5416666666666666,0.625,0.5,0.5833333333333334,0.4583333333333333,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.625,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.625,0.5833333333333334,0.4583333333333333,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.625,0.7083333333333334,0.5416666666666666,0.5833333333333334,0.4583333333333333,0.4583333333333333,0.5833333333333334,0.5416666666666666,0.5833333333333334,0.4583333333333333,0.625
Chicago,0.8333333333333334,0.625,0.7916666666666666,0.875,0.7083333333333334,0.75,0.7916666666666666,0.875,0.7916666666666666,0.7083333333333334,0.75,0.75,0.625,0.625,0.9166666666666666,0.75,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.8333333333333334,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.75,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.625,0.8333333333333334,0.8333333333333334,0.875,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.75,0.75,0.7083333333333334,0.7916666666666666,0.625,0.7916666666666666,0.875,0.75,0.8333333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.8333333333333334,0.7916666666666666,0.875,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.75,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.9166666666666666,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.6666666666666666,0.7083333333333334,0.8333333333333334,0.7083333333333334,0.625,0.8333333333333334
Cincinnati,0.75,0.6666666666666666,0.7083333333333334,0.75,0.5833333333333334,0.75,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.75,0.7916666666666666,0.625,0.625,0.75,0.875,0.7916666666666666,0.8333333333333334,0.75,0.75,0.7083333333333334,0.75,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.625,0.75,0.75,0.625,0.75,0.5833333333333334,0.625,0.7083333333333334,0.5416666666666666,0.75,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.625,0.625,0.7916666666666666,0.5416666666666666,0.7916666666666666,0.8333333333333334,0.7083333333333334,0.75,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.875,0.75,0.7916666666666666,0.7083333333333334,0.75,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.75,0.7083333333333334,0.7083333333333334,0.75,0.8333333333333334,0.75,0.625,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.5416666666666666,0.7916666666666666
Cleveland,0.75,0.625,0.7083333333333334,0.75,0.625,0.7916666666666666,0.6666666666666666,0.8333333333333334,0.7083333333333334,0.625,0.75,0.7916666666666666,0.5833333333333334,0.6666666666666666,0.75,0.7916666666666666,0.875,0.8333333333333334,0.75,0.75,0.6666666666666666,0.75,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7916666666666666,0.625,0.75,0.75,0.625,0.7083333333333334,0.5416666666666666,0.7083333333333334,0.75,0.5,0.75,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.625,0.625,0.75,0.5,0.7916666666666666,0.8333333333333334,0.75,0.75,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.875,0.75,0.7916666666666666,0.75,0.75,0.6666666666666666,0.5416666666666666,0.5416666666666666,0.75,0.7083333333333334,0.7083333333333334,0.75,0.8333333333333334,0.7083333333333334,0.625,0.4583333333333333,0.625,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.5,0.7916666666666666
Columbus,0.8333333333333334,0.75,0.7916666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.75,0.875,0.75,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,0.8333333333333334,0.8333333333333334,0.75,0.8333333333333334,0.75,0.75,0.75,0.8333333333333334,0.75,0.8333333333333334,0.8333333333333334,0.75,0.7916666666666666,0.625,0.7083333333333334,0.8333333333333334,0.625,0.8333333333333334,0.875,0.9166666666666666,0.7916666666666666,0.875,0.75,0.75,0.7083333333333334,0.75,0.7916666666666666,0.625,0.875,0.875,0.7916666666666666,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.9166666666666666,0.7916666666666666,0.875,0.7916666666666666,0.8333333333333334,0.7083333333333334,0.625,0.625,0.875,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.9166666666666666,0.75,0.7083333333333334,0.5833333333333334,0.6666666666666666,0.7083333333333334,0.75,0.7916666666666666,0.625,0.875
Dallas,0.875,0.625,0.7916666666666666,0.8333333333333334,0.6666666666666666,0.75,0.75,0.875,0.75,0.6666666666666666,0.75,0.75,0.6666666666666666,0.625,0.8333333333333334,0.75,0.75,0.8333333333333334,0.9166666666666666,0.7916666666666666,0.75,0.8333333333333334,0.75,0.75,0.6666666666666666,0.8333333333333334,0.75,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.7083333333333334,0.7916666666666666,0.625,0.8333333333333334,0.8333333333333334,0.875,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.75,0.7916666666666666,0.625,0.8333333333333334,0.875,0.7083333333333334,0.8333333333333334,0.7083333333333334,0.75,0.7083333333333334,0.8333333333333334,0.7916666666666666,0.875,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.625,0.625,0.75,0.7916666666666666,0.7916666666666666,0.875,0.9166666666666666,0.6666666666666666,0.75,0.5833333333333334,0.6666666666666666,0.75,0.7916666666666666,0.7083333333333334,0.625,0.7916666666666666
Denver,0.7916666666666666,0.625,0.75,0.7916666666666666,0.6666666666666666,0.75,0.75,0.8333333333333334,0.7083333333333334,0.625,0.75,0.7916666666666666,0.625,0.625,0.8333333333333334,0.75,0.75,0.8333333333333334,0.7916666666666666,0.875,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.8333333333333334,0.7916666666666666,0.6666666666666666,0.7083333333333334,0.625,0.6666666666666666,0.75,0.5833333333333334,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.75,0.7916666666666666,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.75,0.5833333333333334,0.7916666666666666,0.8333333333333334,0.7083333333333334,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.8333333333333334,0.75,0.8333333333333334,0.75,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.625,0.7916666666666666,0.75,0.75,0.7916666666666666,0.875,0.6666666666666666,0.6666666666666666,0.5416666666666666,0.6666666666666666,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.5833333333333334,0.7916666666666666
Detroit,0.75,0.5833333333333334,0.75,0.75,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.6666666666666666,0.625,0.6666666666666666,0.7083333333333334,0.5416666666666666,0.5833333333333334,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.75,0.75,0.7916666666666666,0.875,0.75,0.6666666666666666,0.625,0.625,0.75,0.6666666666666666,0.7916666666666666,0.75,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.7083333333333334,0.625,0.75,0.75,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.7083333333333334,0.7916666666666666,0.625,0.75,0.625,0.625,0.5833333333333334,0.75,0.75,0.7916666666666666,0.75,0.75,0.5833333333333334,0.5,0.5416666666666666,0.7083333333333334,0.75,0.7083333333333334,0.75,0.8333333333333334,0.5833333333333334,0.625,0.5833333333333334,0.5833333333333334,0.625,0.75,0.625,0.625,0.7083333333333334
El_Paso,0.875,0.625,0.7916666666666666,0.8333333333333334,0.6666666666666666,0.75,0.75,0.875,0.7916666666666666,0.6666666666666666,0.7916666666666666,0.75,0.625,0.625,0.8333333333333334,0.75,0.75,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.75,0.9166666666666666,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7083333333333334,0.875,0.8333333333333334,0.7083333333333334,0.7083333333333334,0.625,0.7083333333333334,0.7916666666666666,0.5833333333333334,0.875,0.8333333333333334,0.875,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.75,0.7916666666666666,0.5833333333333334,0.7916666666666666,0.875,0.7083333333333334,0.8333333333333334,0.7083333333333334,0.7083333333333334,0.75,0.8333333333333334,0.7916666666666666,0.9166666666666666,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.625,0.6666666666666666,0.75,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.9166666666666666,0.6666666666666666,0.7083333333333334,0.5416666666666666,0.6666666666666666,0.75,0.75,0.75,0.5833333333333334,0.7916666666666666
Fresno,0.7083333333333334,0.5416666666666666,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.6666666666666666,0.625,0.75,0.6666666666666666,0.5833333333333334,0.625,0.625,0.5,0.625,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.75,0.75,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.625,0.625,0.7083333333333334,0.625,0.7083333333333334,0.7083333333333334,0.5833333333333334,0.625,0.4583333333333333,0.625,0.75,0.5416666666666666,0.7083333333333334,0.7083333333333334,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.625,0.6666666666666666,0.5416666666666666,0.6666666666666666,0.75,0.625,0.7083333333333334,0.5833333333333334,0.5833333333333334,0.625,0.7083333333333334,0.75,0.75,0.7083333333333334,0.6666666666666666,0.5833333333333334,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.7916666666666666,0.5416666666666666,0.625,0.5,0.5416666666666666,0.6666666666666666,0.625,0.5833333333333334,0.5416666666666666,0.6666666666666666
